id,tag_id,taggable_type,taggable_id,created_at,updated_at
40,31,Entry,6,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
41,32,Entry,6,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
42,33,Entry,6,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
43,15,Entry,6,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
44,25,Entry,6,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
45,4,Entry,7,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
46,14,Entry,7,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
47,34,Entry,7,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
48,35,Entry,7,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
49,9,Entry,7,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
50,36,Entry,7,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
51,37,Entry,7,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
52,38,Entry,7,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
53,39,Entry,7,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
54,40,Entry,7,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
55,4,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
56,14,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
57,41,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
58,42,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
59,43,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
60,44,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
61,24,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
62,45,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
63,23,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
64,46,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
65,47,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
66,48,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
67,49,Entry,8,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
68,4,Entry,9,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
69,14,Entry,9,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
70,44,Entry,9,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
71,24,Entry,9,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
72,50,Entry,9,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
73,51,Entry,9,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
74,52,Entry,9,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
75,46,Entry,9,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
76,53,Entry,9,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
77,4,Entry,10,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
78,14,Entry,10,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
79,54,Entry,10,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
80,55,Entry,10,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
81,56,Entry,10,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
82,35,Entry,10,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
83,57,Entry,10,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
84,58,Entry,10,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
85,4,Entry,11,2017-07-25 22:39:50 UTC,2017-07-25 22:39:50 UTC
86,59,Entry,11,2017-07-25 22:39:50 UTC,2017-07-25 22:39:50 UTC
87,60,Entry,11,2017-07-25 22:39:50 UTC,2017-07-25 22:39:50 UTC
88,61,Entry,11,2017-07-25 22:39:50 UTC,2017-07-25 22:39:50 UTC
